EndDate,Role in Operation,County,Regions,Total Yield Bearing Acreage,Acre Ranges,Total Non-Yield Bearing Acreage,Pollination Manager,Cover Crop Grown,Cover Crop Seeds,Cover Crop Satisfaction,Cover Crop Interest,Cover Crop Concerns,Cover Crop Incentives,Water Source,PPH Grown,PPH Satisfaction,PPH Interest,PPH Concerns,PPH Incentives,Pollination,Beekeeper Location,Rental Price,Age
12/20/19,Farm manager (not owner),San Joaquin,Central,65,Medium,10,"Affiliated PCA (with an agricultural retailer),Pesticide applicator,Beekeeper",Yes,Directly from seed company,Not Satisfied,,Increased risk of frost damage,,Surface water,No,,Not sure,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Physical interference with operations","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants",We supplied all of our own bee pollination,,,45-54 years old
12/21/19,Farm manager (not owner),Tulare,South,40,Small,5,"Pesticide applicator,Bee broker",No,,,Yes,Physical interference with operations,"Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",Groundwater,Not sure,,Yes,"Physical interference with operations,Lack of information about how to grow permanent pollinator habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",We rented all our bees,"California, but not a neighboring county",195,45-54 years old
12/21/19,Farm manager (not owner),Stanislaus,Central,7,Small,1,Pesticide applicator,No,,,Not sure,Prefer not to answer,"Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",Groundwater,Not sure,,Yes,"Physical interference with operations,Lack of information about how to grow permanent pollinator habitat",None of these are incentives,We supplied all of our own bee pollination,,,35-44 years old
12/21/19,Owner/operator of almond orchard(s),Stanislaus,Central,40,Small,10,"Farm manager,Beekeeper",Yes,Directly from seed company,Somewhat Satisfied,,"Availability of equipment needed to plant seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",,Groundwater,Yes,Very Satisfied,,"Incompatibility with irrigation system(s),Availability of water,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Fire danger from vegetation","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,185,35-44 years old
12/21/19,Farm manager (not owner),San Joaquin,Central,25,Small,10,"Pesticide applicator,Beekeeper,Bee broker",No,,,Yes,"Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",Easy/affordable access to equipment needed to plant seeds,Groundwater,Not sure,,Yes,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Availability of water,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We supplied all of our own bee pollination,,,35-44 years old
12/22/19,"Owner, not responsible for day-to-day management",Madera,Central,6,Small,1,Owner of the almond orchard(s),No,,,Not sure,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",Groundwater,Not sure,,Not sure,Physical interference with operations,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants",Our orchards were not mature enough for bee pollination,,,35-44 years old
12/22/19,Farm manager (not owner),Madera,Central,40,Small,20,Owner of the almond orchard(s),No,,,No,"Availability of water,Expense of water,Increased risk of frost damage",None of these are incentives,Groundwater,No,,No,We have no concerns about permanent habitat,None of these are incentives,We rented all our bees,Out of state,,45-54 years old
12/23/19,Farm manager (not owner),Yuba,Delta,52,Medium,6,Beekeeper,Yes,Directly from seed company,Very Satisfied,,Limited time for planting due to competing operations,,A combination of surface water and groundwater,No,,Yes,Cost to plant and maintain it,Increased strength of bee colonies during bloom and afterwards,We rented all our bees,Out of state,200,35-44 years old
12/23/19,"Owner, not responsible for day-to-day management",San Joaquin,Central,12,Small,4,"Pesticide applicator,Bee broker",No,,,No,Prefer not to answer,None of these are incentives,Groundwater,Not sure,,Yes,"Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,"California, but not a neighboring county",195,35-44 years old
12/23/19,Farm manager (not owner),Merced,Central,50,Medium,10,Independent PCA (not affiliated with an agricultural retailer),No,,,Not sure,We have no concerns about cover crops,Prefer not to answer,Groundwater,Yes,Somewhat Satisfied,,Physical interference with operations,Increased strength of bee colonies during bloom and afterwards,We rented some bees and supplied some of our own,"California, but not a neighboring county",180,35-44 years old
12/23/19,Farm manager (not owner),Fresno,South,125,Medium,20,"Owner of the almond orchard(s),Beekeeper",Yes,Directly from seed company,Very Satisfied,,"Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Availability of equipment needed to plant seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",,A combination of surface water and groundwater,Yes,Very Satisfied,,We have no concerns about permanent habitat,None of these are incentives,We supplied all of our own bee pollination,,,35-44 years old
12/23/19,Farm manager (not owner),Stanislaus,Central,140,Medium,0,Bee broker,No,,,Not sure,"Effort/time to manage it,Labor to grow/maintain it",Easy/affordable access to equipment needed to plant seeds,A combination of surface water and groundwater,Not sure,,Not sure,"Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Lack of information about how to grow permanent pollinator habitat",None of these are incentives,We rented some bees and supplied some of our own,"California, but not a neighboring county",195,25-34 years old
12/23/19,"Owner, not responsible for day-to-day management",Colusa,North,43,Medium,6,"Pesticide applicator,Beekeeper,Bee broker",Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,,We have no concerns about cover crops,,A combination of surface water and groundwater,No,,No,Effort/time to manage it,Increased strength of bee colonies during bloom and afterwards,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,200,35-44 years old
12/24/19,Farm manager (not owner),Fresno,South,120,Medium,0,Independent PCA (not affiliated with an agricultural retailer),No,,,No,"Availability of water,Expense of water,Incompatibility with irrigation system(s)",None of these are incentives,Groundwater,No,,No,"Effort/time to manage it,Physical interference with operations",None of these are incentives,We rented all our bees,"California, but not a neighboring county",,55-64 years old
12/25/19,"Owner, not responsible for day-to-day management",Madera,Central,20,Small,0,Owner of the almond orchard(s),No,,,No,We have no concerns about cover crops,Increased strength of bee colonies during bloom,A combination of surface water and groundwater,No,,No,"Effort/time to manage it,Cost to plant and maintain it",Increased strength of bee colonies during bloom and afterwards,We rented all our bees,Out of state,300,55-64 years old
1/1/20,Farm manager (not owner),Stanislaus,Central,28,Small,4,Beekeeper,No,,,No,"Limited time for planting due to competing operations,Physical interference with operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",Groundwater,No,,Yes,"Incompatibility with irrigation system(s),Physical interference with operations,Lack of information about how to grow permanent pollinator habitat","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We supplied all of our own bee pollination,,,25-34 years old
1/3/20,Owner/operator of almond orchard(s),Merced,Central,50,Medium,0,Owner of the almond orchard(s),No,,,Not sure,"Availability of water,Incompatibility with irrigation system(s),Labor to grow/maintain it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds",Surface water,No,,Not sure,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Availability of water,Increased risk of frost damage","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Supporting native pollinators",We rented all our bees,Out of state,195,55-64 years old
1/3/20,Owner/operator of almond orchard(s),"Stanislaus,Merced",Central,1300,Large,100,Affiliated PCA (with an agricultural retailer),Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,,"Cost of seeds,Increased risk of frost damage,Physical interference with operations",,Surface water,No,,No,"Labor to plant and maintain it,Effort/time to manage it,Physical interference with operations",Decreased rental fee for managed bee colonies,We rented all our bees,Out of state,190,35-44 years old
1/3/20,Owner/operator of almond orchard(s),Fresno,South,210,Large,40,Owner of the almond orchard(s),No,,,Not sure,"Expense of water,Labor to grow/maintain it,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",Groundwater,No,,Not sure,"Labor to plant and maintain it,Cost to plant and maintain it,Increased risk of frost damage","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,"California, but not a neighboring county",200,65-74 years old
1/3/20,Owner/operator of almond orchard(s),Fresno,South,80,Medium,0,Bee broker,No,,,Not sure,"Increased risk of frost damage,Physical interference with operations",Increased strength of bee colonies during bloom,A combination of surface water and groundwater,Yes,Somewhat Satisfied,,"Physical interference with operations,Increased risk of frost damage",9,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,125,55-64 years old
1/3/20,Owner/operator of almond orchard(s),Merced,Central,18,Small,0,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer)",No,,,Yes,Cost of equipment needed to plant seeds,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",Groundwater,Not sure,,Not sure,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Lack of information about how to grow permanent pollinator habitat","Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,185,55-64 years old
1/3/20,Owner/operator of almond orchard(s),Glenn,North,78,Medium,0,Owner of the almond orchard(s),No,,,Yes,"Availability of equipment needed to plant seeds,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",Groundwater,No,,Not sure,"Lack of available land,Effort/time to manage it,Physical interference with operations,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,195,55-64 years old
1/3/20,Owner/operator of almond orchard(s),Madera,Central,38,Small,2,Owner of the almond orchard(s),No,,,Not sure,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,No,"Labor to plant and maintain it,Effort/time to manage it,Incompatibility with irrigation system(s),Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Expense of water,Availability of water,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat",9,We rented all our bees,Out of state,,75 years or older
1/3/20,Owner/operator of almond orchard(s),San Joaquin,Central,5,Small,0,"Owner of the almond orchard(s),Farm manager,Pesticide applicator,Beekeeper",No,,,No,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Inadequate soil type for cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",Surface water,No,,No,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations,Expense of water,Availability of water,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,200,55-64 years old
1/3/20,Owner/operator of almond orchard(s),Stanislaus,Central,20,Small,0.5,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer),Beekeeper",No,,,Not sure,"Labor to grow/maintain it,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",Surface water,No,,Yes,"Lack of available land,Labor to plant and maintain it,Cost to plant and maintain it,Lack of information about how to grow permanent pollinator habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,200,35-44 years old
1/4/20,Owner/operator of almond orchard(s),Kern,South,170,Medium,50,Owner of the almond orchard(s),No,,,Not sure,"Availability of water,Expense of water,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",A combination of surface water and groundwater,No,,Not sure,"Lack of available land,Cost to plant and maintain it,Expense of water","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,"Near your orchard(s): from the same county or a neighboring county,Out of state",211,65-74 years old
1/4/20,Owner/operator of almond orchard(s),Merced,Central,10,Small,4,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer),Beekeeper",No,,,No,"Availability of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",None of these are incentives,Surface water,Yes,Somewhat Satisfied,,"Labor to plant and maintain it,Effort/time to manage it,Availability of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)",None of these are incentives,We rented all our bees,"California, but not a neighboring county",175,65-74 years old
1/4/20,Owner/operator of almond orchard(s),Kern,South,175,Medium,60,"Owner of the almond orchard(s),Independent PCA (not affiliated with an agricultural retailer),Beekeeper",No,,,Yes,"Availability of water,Incompatibility with irrigation system(s),Cost of equipment needed to plant seeds,Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Yes,"Lack of available land,Effort/time to manage it,Availability of water","Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,"California, but not a neighboring county",175,65-74 years old
1/4/20,Owner/operator of almond orchard(s),Glenn,North,145,Medium,0,"Owner of the almond orchard(s),Farm manager,Beekeeper",Yes,Directly from seed company,Very Satisfied,,Cost of seeds,,Groundwater,No,,Not sure,"Lack of available land,Incompatibility with irrigation system(s)",None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,210,45-54 years old
1/4/20,"Owner, not responsible for day-to-day management",Fresno,South,70,Medium,5,Pesticide applicator,No,,,Yes,We have no concerns about cover crops,None of these are incentives,A combination of surface water and groundwater,Not sure,,Yes,"Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Fire danger from vegetation,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,165,45-54 years old
1/4/20,Owner/operator of almond orchard(s),Merced,Central,100,Medium,68,Owner of the almond orchard(s),No,,,Yes,Increased risk of frost damage,Federal cost-share program that covers the cost of cover crop seeds,A combination of surface water and groundwater,No,,Yes,"Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",We rented all our bees,"California, but not a neighboring county",250,55-64 years old
1/4/20,Owner/operator of almond orchard(s),"San Joaquin,Stanislaus",Central,584,Large,284,Independent PCA (not affiliated with an agricultural retailer),No,,,No,"Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage",None of these are incentives,A combination of surface water and groundwater,Not sure,,No,"Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations,Increased risk of frost damage",None of these are incentives,We rented all our bees,Out of state,210,55-64 years old
1/4/20,Farm manager (not owner),Fresno,South,29,Small,2,"Owner of the almond orchard(s),Beekeeper",Yes,"Private cost-share program (e.g., Seeds for Bees)",Very Satisfied,,"Incompatibility with irrigation system(s),Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations",,Groundwater,No,,Yes,"Effort/time to manage it,Increased risk of frost damage","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We supplied all of our own bee pollination,,,25-34 years old
1/4/20,Owner/operator of almond orchard(s),San Joaquin,Central,300,Large,0,"Owner of the almond orchard(s),Beekeeper",Yes,PCA/CCA/Crop consultant,Very Satisfied,,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",,A combination of surface water and groundwater,No,,,"Incompatibility with irrigation system(s),Physical interference with operations,Availability of water,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,Out of state,200,55-64 years old
1/4/20,Owner/operator of almond orchard(s),Stanislaus,Central,18,Small,4,Owner of the almond orchard(s),No,,,No,We have no concerns about cover crops,None of these are incentives,A combination of surface water and groundwater,Yes,Very Satisfied,,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Expense of water,Availability of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,200,55-64 years old
1/5/20,Owner/operator of almond orchard(s),Stanislaus,Central,175,Medium,0,"Affiliated PCA (with an agricultural retailer),Beekeeper",Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,,"Increased risk of frost damage,Physical interference with operations",,A combination of surface water and groundwater,No,,No,"Lack of available land,Labor to plant and maintain it,Cost to plant and maintain it,Physical interference with operations,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,195,55-64 years old
1/5/20,Owner/operator of almond orchard(s),Merced,Central,240,Large,0,"Owner of the almond orchard(s),Independent PCA (not affiliated with an agricultural retailer)",Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",,A combination of surface water and groundwater,Yes,Not Satisfied,,"Lack of available land,Cost to plant and maintain it,Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Expense of water,Availability of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Fire danger from vegetation","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,180,55-64 years old
1/6/20,Owner/operator of almond orchard(s),Stanislaus,Central,20,Small,10,Owner of the almond orchard(s),Yes,PCA/CCA/Crop consultant,Very Satisfied,,"Effort/time to manage it,Increased risk of frost damage,Physical interference with operations",,A combination of surface water and groundwater,Yes,Somewhat Satisfied,,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Increased risk of frost damage","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,205,55-64 years old
1/6/20,"Owner, not responsible for day-to-day management",Tulare,South,50,Medium,0,"Owner of the almond orchard(s),Bee broker",No,,,Not sure,Prefer not to answer,Prefer not to answer,Surface water,Yes,Very Satisfied,,Lack of information about how to grow permanent pollinator habitat,"Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We supplied all of our own bee pollination,,,35-44 years old
1/6/20,Farm manager (not owner),Stanislaus,Central,240,Large,12,Pesticide applicator,Yes,PCA/CCA/Crop consultant,Not Satisfied,,Incompatibility with irrigation system(s),,Groundwater,Yes,Somewhat Satisfied,,We have no concerns about permanent habitat,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,"California, but not a neighboring county",210,35-44 years old
1/6/20,Owner/operator of almond orchard(s),San Joaquin,Central,80,Medium,0,Pesticide applicator,Yes,Directly from seed company,Very Satisfied,,"Increased risk of frost damage,Limited time for planting due to competing operations",,Groundwater,No,,Yes,"Physical interference with operations,Lack of information about how to grow permanent pollinator habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented some bees and supplied some of our own,Out of state,195,45-54 years old
1/6/20,Farm manager (not owner),Tulare,South,300,Large,100,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer),Beekeeper",No,,,Yes,"Effort/time to manage it,Cost of seeds,Physical interference with operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Not sure,"Lack of available land,Cost to plant and maintain it,Physical interference with operations,Lack of information about how to grow permanent pollinator habitat","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,"California, but not a neighboring county,Out of state",175,25-34 years old
1/6/20,Owner/operator of almond orchard(s),Merced,Central,105,Medium,0,Beekeeper,Yes,Directly from seed company,Somewhat Satisfied,,"Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations",,Groundwater,No,,Not sure,Lack of information about how to grow permanent pollinator habitat,"Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We supplied all of our own bee pollination,,,25-34 years old
1/7/20,Owner/operator of almond orchard(s),"Fresno,Tulare",South,440,Large,0,Independent PCA (not affiliated with an agricultural retailer),Yes,"Private cost-share program (e.g., Seeds for Bees),Directly from seed company",Very Satisfied,,"Effort/time to manage it,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",,A combination of surface water and groundwater,No,,No,Prefer not to answer,Increased strength of bee colonies during bloom and afterwards,We rented some bees and supplied some of our own,"California, but not a neighboring county,Out of state",220,45-54 years old
1/7/20,Farm manager (not owner),Tulare,South,650,Large,25,"Pesticide applicator,Bee broker",No,,,Not sure,"Effort/time to manage it,Labor to grow/maintain it","Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",Groundwater,No,,Not sure,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants",We rented all our bees,Prefer not to answer,210,35-44 years old
1/7/20,Farm manager (not owner),Tulare,South,675,Large,20,"Pesticide applicator,Beekeeper",No,,,No,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Not sure,Prefer not to answer,None of these are incentives,We rented all our bees,Out of state,200,35-44 years old
1/7/20,"Owner, not responsible for day-to-day management",Stanislaus,Central,9,Small,1,Beekeeper,No,,,Not sure,Physical interference with operations,Increased strength of bee colonies during bloom,A combination of surface water and groundwater,No,,No,Physical interference with operations,Increased strength of bee colonies during bloom and afterwards,We supplied all of our own bee pollination,,,45-54 years old
1/8/20,Farm manager (not owner),Madera,Central,120,Medium,20,Beekeeper,Yes,Directly from seed company,Very Satisfied,,"Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds",,Groundwater,No,,Not sure,"Incompatibility with irrigation system(s),Physical interference with operations,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,"California, but not a neighboring county",200,25-34 years old
